ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
536,K505,20K505,FRANKLIN DELANO ROOSEVELT HS(BS) ,K505,5800 20TH AVENUE,K,20,2554,,1,FRANKLIN DELANO ROOSEVELT HS(BS) ,0,3,15,2,1,11C,2501-3000,1.09,9.91,25.36,5,3.73
537,K515,18K515,SOUTH SHORE HS(BS) ,K922,6565 FLATLANDS AVENUE,K,18,149,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
538,K515,18K566,BROOKLYN GENERATION SCHOOL(BS),K566,6565 Flatlands Ave,K,18,152,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
539,K515,18K567,BROOKLYN THEATRE ARTS HS (BS),K567,6565 Flatlands Ave,K,18,299,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
540,K515,18K576,VICTORY COLLEGIATE HS (BS),K576,6565 Flatlands Ave,K,18,307,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
541,K515,18K578,BROOKLYN BRIDGE ACADEMY(BS),K578,6565 Flatlands Ave,K,18,145,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
542,K515,18K637,ACADEMY FOR CONSERVATION & THE ENVIRONMENT(BS),K637,6565 Flatlands Avenue,K,18,222,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
543,K515,,6565 Flatlands Avenue CONSOLIDATED LOCATION,,6565 Flatlands Avenue,K,18,1274,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,3,8,25,3,5,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
544,K520,15K423,BROOKLYN FRONTIERS HS(BN),K423,112 SCHERMERHORN STREET,K,15,148,,1,BROOKLYN FRONTIERS HS(BN),1,0,2,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
545,K525,21K525,EDWARD R MURROW HS(BS) ,K525,1600 AVENUE L,K,21,2921,,1,EDWARD R MURROW HS(BS) ,0,9,20,4,2,11C,2501-3000,1.09,9.91,25.36,5,3.73
546,K535,22K535,LEON M. GOLDSTEIN HS FOR THE SCIENCES(BS) ,K535,1830 SHORE BOULEVARD,K,22,759,,1,LEON M. GOLDSTEIN HS FOR THE SCIENCES,0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
547,K540,21K540,JOHN DEWEY HS(BS) ,K540,50 AVE X,K,21,1738,,1,John Dewey HS,2,5,19,6,1,8C,1501-1750,0.45,2.95,7.14,1.48,1.6
548,K554,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,K554,1474 GATES AVENUE,K,32,370,,1,ALL CITY LEADERSHIP SECONDARY SCHOOL,0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
549,K564,15K667,SUNSET PARK HS(BROOKLYN),K667,153 35th St.,K,15,962,,1,SUNSET PARK HS(BROOKLYN),0,5,4,0,5,5C,751-1000,0.38,1.52,3.88,0.83,0.91
550,K577,14K517,CONSELYEA PREPARATORY SCHOOL (BN),K517,208 NORTH 5 STREET,K,14,1033,,1,CONSELYEA PREPARATORY SCHOOL (BN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
551,K580,13K605,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,K605,105 Tech Place,K,13,635,105 Tech Place CONSOLIDATED LOCATION,2,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) | CITY POLYTECHNIC HS OF ENGINEERING ARCHITECTURE & TECHNOLOGY(BN) |105 Tech Place CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
552,K580,13K674,CITY POLYTECHNIC HS OF ENGINEERING ARCHITECTURE & TECHNOLOGY(BN),K674,105 Tech Place,K,13,319,105 Tech Place CONSOLIDATED LOCATION,2,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) | CITY POLYTECHNIC HS OF ENGINEERING ARCHITECTURE & TECHNOLOGY(BN) |105 Tech Place CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
553,K580,,105 Tech Place CONSOLIDATED LOCATION,,105 Tech Place,K,13,954,105 Tech Place CONSOLIDATED LOCATION,2,GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) | CITY POLYTECHNIC HS OF ENGINEERING ARCHITECTURE & TECHNOLOGY(BN) |105 Tech Place CONSOLIDATED LOCATION,2,4,9,4,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91
554,K590,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),K590,1186 CARROLL STREET,K,17,1240,,1,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,1,1,3,1,1,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
555,K600,17K600,CLARA BARTON HS(BS) ,K600,901 CLASSON AVENUE,K,17,941,,1,CLARA BARTON HS(BS) ,0,7,17,1,4,5C,751-1000,0.38,1.52,3.88,0.83,0.91
556,K610,14K610,Automotive High School,K610,50 BEDFORD AVENUE,K,14,284,,1,Automotive High School,0,5,8,2,2,3C,251-500,0.25,1.03,2.22,0.55,0.58
557,K615,19K615,TRANSIT TECH CAREER & TECHNICAL EDUCATION HS(BROOKLYN) ,K615,1 WELLS STREET,K,19,544,,1,TRANSIT TECH CAREER & TECHNICAL EDUCATION HS(BROOKLYN) ,1,1,12,0,1,4C,501-750,0.26,1.13,2.41,0.66,0.57
558,K620,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN) ,K620,25 BRIGHTON 4 ROAD,K,21,329,,1,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN) ,0,5,7,2,3,3C,251-500,0.25,1.03,2.22,0.55,0.58
559,K625,17K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HS(P-TECH)(BN),K122,150 ALBANY AVENUE,K,17,496,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
560,K625,17K751,ACADEMY FOR HEALTH CAREERS(BN),K751,150 ALBANY AVENUE,K,17,274,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
561,K625,,150 ALBANY AVENUE CONSOLIDATED LOCATION,,150 ALBANY AVENUE,K,17,770,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,1,9,11,3,4,5C,751-1000,0.38,1.52,3.88,0.83,0.91
562,K650,14K488,BROOKLYN PREPARATORY HS(BN) ,K488,257 NORTH 6 STREET,K,14,411,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
563,K650,14K558,WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) ,K558,257 NORTH 6 STREET,K,14,432,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
564,K650,14K561,WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) ,K561,257 NORTH 6 STREET,K,14,515,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
565,K650,76K640,HARRY VAN ARSDALE HS(BN),K640,257 NORTH 6 STREET,K,14,SCHOOL CLOSED,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
566,K650,76K641,HARRY VAN ARSDALE HS GED(BN) ,K641,257 NORTH 6 STREET,K,14,GED PROGRAM,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
567,K650,,257 NORTH 6 STREET CONSOLIDATED LOCATION,,257 NORTH 6 STREET,K,14,1358,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,2,4,10,2,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47
568,K655,15K447,The Math & Science Exploratory School,K447,345 DEAN STREET,K,15,528,345 DEAN STREET CONSOLIDATED LOCATION,2,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
569,K655,15K656,Brooklyn High School of the Arts,K656,345 DEAN STREET,K,15,703,345 DEAN STREET CONSOLIDATED LOCATION,2,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
570,K655,,345 DEAN STREET CONSOLIDATED LOCATION,,345 DEAN STREET,K,15,1231,345 DEAN STREET CONSOLIDATED LOCATION,2,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,0,3,6,0,1,6C,1001-1250,0.61,2.55,6.1,1.29,1.48
571,K660,19K409,EAST NEW YORK FAMILY ACADEMY(BN) ,K409,2057 LINDEN BOULEVARD,K,19,440,2057 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,EAST NEW YORK FAMILY ACADEMY(BN)  | WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(BROOKLYN) | 145 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
572,K660,19K660,WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(BROOKLYN),K660,145 PENNSYLVANIA AVENUE,K,19,292,145 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,EAST NEW YORK FAMILY ACADEMY(BN)  | WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(BROOKLYN) | 145 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
573,K660,,145 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,145 PENNSYLVANIA AVENUE,K,19,732,145 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,EAST NEW YORK FAMILY ACADEMY(BN)  | WILLIAM H. MAXWELL CAREER & TECHNICAL EDUCATION HS(BROOKLYN) | 145 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,3,6,13,3,5,4C,501-750,0.26,1.13,2.41,0.66,0.57
574,K721,21K690,BROOKLYN STUDIO SECONDARY SCHOOL(BS) ,K690,8310 21ST AVENUE,K,21,788,,1,BROOKLYN STUDIO SECONDARY SCHOOL(BS) ,2,1,4,0,3,5C,751-1000,0.38,1.52,3.88,0.83,0.91
575,K722,75K721,P721 OTC(BS),K721,64 AVENUE X,K,21,472,,1,P721 OTC(BS),0,0,2,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
576,K728,21K728,LIBERATION DIPLOMA PLUS HS(BS),K728,2865 W.19th St.,K,21,134,,1,LIBERATION DIPLOMA PLUS HS(BS),0,3,6,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
577,K735,22K245,PS 245(BROOKLYN),K245,249 East 17th Street,K,22,302,,1,PS 245(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
578,K763,15K118,THE MAURICE SENDAK COMMUNITY SCHOOL(BS),K118,211 Eighth Street,K,15,252,,1,THE MAURICE SENDAK COMMUNITY SCHOOL(BS),0,1,0,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
579,K776,22K776,PS 152 ANNEX(BS),K776,1087 Ocean Ave,K,22,ANNEX,,1,PS 152 ANNEX(BS),2,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
580,K778,14K685,EL PUENTE ACADEMY FOR PEACE & JUSTICE(BN)  ,K685,250 Hooper St.,K,14,176,,1,EL PUENTE ACADEMY FOR PEACE & JUSTICE(BN)  ,0,0,1,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
581,K781,79K529,WEST BROOKLYN COMMUNITY HS(BROOKLYN),K529,1053 41st Street,K,15,176,,1,WEST BROOKLYN COMMUNITY HS(BROOKLYN),0,1,2,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
582,K798,19K065,PS 65(BN),K065,696 Jamaica Ave.,K,19,606,,1,PS 65(BN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
583,K804,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS) ,K519,347 BALTIC STREET,K,15,450,,1,COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS) ,0,5,7,0,4,3C,251-500,0.25,1.03,2.22,0.55,0.58
584,K805,13K350,Urban Assembly High School of Music and Art,K350,49 FLATBUSH AVENUE EXTENSION,K,13,177,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
585,K805,13K419,"Science Skills Center High School for Science, Tec",K419,49 FLATBUSH AVENUE EXTENSION,K,13,429,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
586,K805,13K439,Brooklyn International High School,K439,49 FLATBUSH AVENUE EXTENSION,K,13,282,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
587,K805,,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,,49 FLATBUSH AVENUE EXTENSION,K,13,888,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",2,4,9,2,3,5C,751-1000,0.38,1.52,3.88,0.83,0.91
588,K806,15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,K592,50 Navy St.,K,15,216,,1,KHALIL GIBRAN INTERNATIONAL ACADEMY,0,4,3,1,2,2C,1-250,0.25,0.88,1.69,0.57,0.45
589,K807,20K163,PS 163 BATH BEACH (BROOKLYN),K163,109 Bay 14 St.,K,20,638,,1,PS 163 BATH BEACH (BROOKLYN),0,0,3,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
590,K814,19K089,PS 89 CYPRESS HILLS (BROOKLYN),K089,265 Warwick St.,K,19,455,,1,PS 89 CYPRESS HILLS (BROOKLYN),0,1,1,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
591,K824,17K489,W.E.B. DUBOIS ACADEMIC HS(BROOKLYN),K981,402 EASTERN PARKWAY,K,17,68,,1,W.E.B. DUBOIS ACADEMIC HS(BROOKLYN),1,2,2,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
592,K825,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL(BROOKLYN),K698,173 CONOVER STREET,K,15,160,,1,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL(BROOKLYN),0,3,0,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
593,K834,15K820,PS 820(BROOKLYN),K418,512 CARROLL STREET,K,15,263,512 CARROLL STREET CONSOLIDATED LOCATION,2,PS 820(BROOKLYN) |P372(BS) |512 CARROLL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
594,K834,75K372,P372(BS),K372,512 CARROLL STREET,K,15,220,512 CARROLL STREET CONSOLIDATED LOCATION,2,PS 820(BROOKLYN) |P372(BS) |512 CARROLL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
595,K834,,512 CARROLL STREET CONSOLIDATED LOCATION,,512 CARROLL STREET,K,15,483,512 CARROLL STREET CONSOLIDATED LOCATION,2,PS 820(BROOKLYN) |P372(BS) |512 CARROLL STREET CONSOLIDATED LOCATION,0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
596,K843,75K004,P4@P843(BN),K004,530 STANLEY AVENUE,K,19,303,,1,P4@P843(BN),1,0,0,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
597,K845,15K295,P.S. 295,K295,330 18 STREET,K,15,425,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
598,K845,15K443,New Voices School of Academic & Creative Arts,K443,330 18 STREET,K,15,558,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
599,K845,,330 18 STREET CONSOLIDATED LOCATION,,330 18 STREET,K,15,983,330 18 STREET CONSOLIDATED LOCATION,2,P.S. 295 |  New Voices School of Academic & Creative Arts |  330 18 STREET CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91
600,K849,22K134,PS 134(BS),K134,4001 18 AVENUE,K,22,564,,1,PS 134(BS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
601,K852,22K326,PS 326(BROOKLYN),K326,1800 UTICA AVENUE,K,22,160,,1,PS 326(BROOKLYN),0,0,1,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
603,K860,18K673,EAST BROOKLYN COMMUNITY HS(BS),K673,9517 Kings Highway,K,18,140,,1,EAST BROOKLYN COMMUNITY HS(BS),0,1,6,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
604,K865,32K556,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE(BN),K556,797 Bushwick Ave,K,32,227,,1,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE(BN),0,2,3,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
605,K872,19K872,PS 364 Annnex,K872,1461 Geneva Loop,K,19,ANNEX,,1,PS 364 Annnex,0,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
606,K874,17K340,IS 340(BS),K340,227 STERLING PLACE,K,13,219,,1,IS 340(BS),0,2,3,0,2,2C,1-250,0.25,0.88,1.69,0.57,0.45
607,K884,17K884,FLATBUSH SUCCESS ACADEMY/PS 884,K886,15 SNYDER AVENUE,K,17,209,,1,FLATBUSH SUCCESS ACADEMY/PS 884,0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
608,K894,23K646,ASPIRATIONS DIPLOMA PLUS HS(BN),K646,1495 HERKIMER STREET,K,23,134,,1,ASPIRATIONS DIPLOMA PLUS HS(BN),2,0,12,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45
609,K902,13K077,P.S. K077,K077,62 Park Place,K,13,267,62 PARK PLACE CONSOLIDATED LOCATION,2,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
610,K902,13K266,M.S. K266 - Park Place Community Middle School,K266,62 PARK PLACE,K,13,155,62 PARK PLACE CONSOLIDATED LOCATION,2,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A
611,K902,,62 PARK PLACE CONSOLIDATED LOCATION,,62 PARK PLACE,K,13,422,62 PARK PLACE CONSOLIDATED LOCATION,2,P.S. K077 |  M.S. K266 - Park Place Community Middle School |  M.S. K266 - Park Place Community Middle School,1,0,2,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
612,K907,17K568,BROWNSVILLE ACADEMY HS(BN) ,M359,1150 EAST NEW YORK AVENUE,K,17,99,,1,BROWNSVILLE ACADEMY HS(BN) ,0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
613,K909,13K499,ACORN COMMUNITY HS(BN) ,K499,561 GRAND AVENUE,K,13,147,,1,ACORN COMMUNITY HS(BN) ,1,0,9,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
614,K913,32K545,EBC HS FOR PUBLIC SERVICE BUSHWICK(BN) ,K545,1155 DEKALB AVENUE,K,32,382,,1,EBC HS FOR PUBLIC SERVICE BUSHWICK(BN) ,0,1,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
615,K914,13K670,BENJAMIN BANNEKER ACADEMY(BN),K670,71-77 CLINTON AVENUE,K,13,634,,1,BENJAMIN BANNEKER ACADEMY(BN),0,1,7,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
616,K917,22K555,BROOKLYN COLLEGE CAMPUS(BS) ,K555,2900 BEDFORD AVENUE,K,15,614,,1,BROOKLYN COLLEGE CAMPUS(BS) ,0,1,2,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
617,K971,20K971,PS 971 (BROOKLYN),K971,6214 Fourth Ave.,K,20,356,,1,PS 971 (BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
618,K987,16K498,BROOKLYN HS FOR LAW & TECHNOLOGY(BN),K498,1396 BROADWAY,K,16,592,,1,BROOKLYN HS FOR LAW & TECHNOLOGY(BN),1,4,10,4,0,4C,501-750,0.26,1.13,2.41,0.66,0.57
619,K990,84K651,PAVE ACADEMY CHARTER SCHOOL(BS),K651,732 Henry Street,K,15,473,,1,PAVE ACADEMY CHARTER SCHOOL(BS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58
620,K994,13K595,BEDFORD ACADEMY HS(BN),K595,1119 Bedford Ave,K,13,263,,1,BEDFORD ACADEMY HS(BN),0,2,0,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58
621,K995,15K822,MS 822(BS),K822,5613-19 Flatlands Avenue,K,15,2,,1,MS 822(BS),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
1260,Q222,30Q222,PS 222(QUEENS),Q222,86-15 37th Ave,K,30,234,,1,PS 222(QUEENS),0,0,0,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45
